DEPARTURES_PERFORMED,SEATS,PASSENGERS,FREIGHT,MAIL,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,ORIGIN,DEST,AIRCRAFT_GROUP,AIRCRAFT_TYPE,YEAR,MONTH
1.00,0.00,0.00,85696.00,0.00,KAQ,Kalitta Air LLC,ANC,NRT,6,683,2024,1
1.00,0.00,0.00,86439.00,0.00,5Y,Atlas Air Inc.,PDX,NRT,8,819,2024,1
1.00,0.00,0.00,87256.00,0.00,LA,Lan-Chile Airlines,MDE,MIA,6,626,2024,1
1.00,0.00,0.00,88645.00,0.00,LA,Lan-Chile Airlines,EZE,MIA,6,626,2024,1
1.00,0.00,0.00,89254.00,0.00,5Y,Atlas Air Inc.,IND,LGG,8,819,2024,1
1.00,0.00,0.00,90710.00,0.00,LA,Lan-Chile Airlines,MIA,GIG,6,626,2024,1
1.00,0.00,0.00,91839.00,0.00,LH,Lufthansa German Airlines,DFW,BER,6,627,2024,1
1.00,0.00,0.00,93696.00,0.00,FX,Federal Express Corporation,VCP,MEM,7,740,2024,1
1.00,0.00,0.00,93940.00,0.00,ADB,Antonov Company,STR,BGR,8,880,2024,1
1.00,0.00,0.00,95799.00,0.00,LA,Lan-Chile Airlines,MIA,MAO,6,626,2024,1
1.00,0.00,0.00,96985.00,0.00,N8,National Air Cargo Group Inc d/ba National Airlines,JFK,NLU,8,819,2024,1
1.00,0.00,0.00,96985.00,0.00,N8,National Air Cargo Group Inc d/ba National Airlines,ZAZ,JFK,8,819,2024,1
1.00,0.00,0.00,97220.00,0.00,LA,Lan-Chile Airlines,MIA,VCP,6,626,2024,1
1.00,0.00,0.00,98140.00,0.00,N8,National Air Cargo Group Inc d/ba National Airlines,JFK,GUA,8,819,2024,1
1.00,0.00,0.00,98140.00,0.00,N8,National Air Cargo Group Inc d/ba National Airlines,WAW,JFK,8,819,2024,1
1.00,0.00,0.00,98911.00,0.00,N8,National Air Cargo Group Inc d/ba National Airlines,HKG,FAI,8,819,2024,1
1.00,0.00,0.00,99087.00,0.00,5Y,Atlas Air Inc.,NGO,PAE,8,819,2024,1
1.00,0.00,0.00,99521.00,0.00,ADB,Antonov Company,LCK,RZE,8,880,2024,1
1.00,0.00,0.00,101508.00,0.00,N8,National Air Cargo Group Inc d/ba National Airlines,ICN,FAI,8,819,2024,1
1.00,0.00,0.00,102479.00,0.00,FX,Federal Express Corporation,MEM,VCP,7,740,2024,1
1.00,0.00,0.00,102626.00,0.00,N8,National Air Cargo Group Inc d/ba National Airlines,CAN,ANC,8,819,2024,1
1.00,0.00,0.00,104326.00,0.00,M6,Amerijet International,BRU,BGR,6,626,2024,1
1.00,0.00,0.00,104700.00,0.00,XL,Lan Ecuador,UIO,FLL,6,626,2024,1
1.00,0.00,0.00,105345.00,0.00,KE,Korean Air Lines Co. Ltd.,SFO,ICN,6,683,2024,1
1.00,0.00,0.00,105582.00,0.00,CX,Cathay Pacific Airways Ltd.,LAX,CTS,8,820,2024,1
1.00,0.00,0.00,105860.00,0.00,XL,Lan Ecuador,SCL,MIA,6,626,2024,1
1.00,0.00,0.00,107913.00,0.00,N8,National Air Cargo Group Inc d/ba National Airlines,SCL,MIA,8,819,2024,1
1.00,0.00,0.00,108037.00,0.00,ABX,ABX Air Inc,EMA,CVG,6,626,2024,1
